quantity,Price,SMC,Sales
2880,186,92.628,1
422016,116,87.348,1
960,122,92.598,1
1000,122,93.574,1
960,122,93.574,1
24000,113,87.349,1
1033152,113,87.349,1
1715040,113,87.349,1
1033152,113,87.349,1
1400000,113,90.965,1
192000,116,95.004,1
120480,116,95.7,1
1400000,101,91.001,1
1400000,101,95.647,1
30000,575,112.125,1
1000,575,112.7,1
1000,575,119.6,1
1500,477,108.756,1
23000,477,112.095,1
7910,477,119.25,1
48000,477,119.25,1
27000,477,145.485,1
5600,43,31.777,1
5600,43,31.777,1
5600,40,31.76,1
5600,40,31.76,1
5600,40,31.76,1
150000,42,34.818,1
875000,40,36,1
1256800,45,44.595,1
1636800,45,44.595,1
875000,40,47,1
27400,45,59.175,1
21811,45,59.175,1
17363,45,59.175,1
150000,45,59.895,1
500000,48,65.136,1
64200,45,62.28,1
73560,45,65.16,1
500000,45,65.16,1
400000,45,65.16,1
1046480,45,65.16,1
16478,45,65.16,1
750000,45,65.16,1
48000,45,65.205,1
360284,45,65.295,1
46480,45,66.24,1
1500000,45,80.01,1
10000,200,72.2,1
100000,200,72.2,1
100000,200,72.2,1
5000,189,68.796,1
5000,189,68.796,1
5000,189,68.796,1
5000,189,68.796,1
1100,189,68.796,1
5000,189,72.198,1
5000,189,72.198,1
50000,174,68.382,1
75000,174,68.382,1
100000,174,68.382,1
100000,174,68.73,1
100000,174,68.73,1
100000,174,68.73,1
25000,189,77.301,1
100000,174,72.21,1
100000,174,72.21,1
50000,174,77.43,1
75000,174,77.43,1
100000,174,77.43,1
25000,189,91.287,1
560,62,43.772,1
2500000,38,29.64,1
5000000,40,31.4,1
5000000,42.3,40.5234,1
5000000,42.3,40.5234,1
500000,40,43.44,1
5000000,40,43.8,1
5000000,40,43.8,1
1200000,40,43.8,1
132660,40,56.64,1
42800,72,31.464,1
10400,72,31.464,1
10000,72,31.464,1
74400,72,32.4,1
25000,69,32.844,1
113200,72,34.416,1
113200,72,34.416,1
18400,72,34.416,1
256000,72,34.416,1
